country,year,GDP/Capita
Austria,2006,42500
Belgium,2006,39100
Bulgaria,2006,5630
Cyprus,2006,26400
Czechia,2006,15900
Germany,2006,36700
Denmark,2006,53700
Spain,2006,26800
Estonia,2006,16200
Finland,2006,44100
France,2006,35800
Greece,2006,23400
Croatia,2006,12000
Hungary,2006,11700
Ireland,2006,51000
Italy,2006,33800
Lithuania,2006,10700
Luxemborg,2006,106000
Latvia,2006,11900
Malta,2006,18500
Netherlands,2006,43600
Poland,2006,9080
Portugal,2006,19500
Romania,2006,6870
Slovakia,2006,12400
Slovenia,2006,20300
Sweden,2006,47900
Austria,2007,43900
Belgium,2007,40300
Bulgaria,2007,6050
Cyprus,2007,27200
Czechia,2007,16700
Germany,2007,37800
Denmark,2007,53900
Spain,2007,27200
Estonia,2007,17500
Finland,2007,46200
France,2007,36500
Greece,2007,24100
Croatia,2007,12600
Hungary,2007,11800
Ireland,2007,52200
Italy,2007,34100
Lithuania,2007,12000
Luxemborg,2007,112000
Latvia,2007,13200
Malta,2007,19300
Netherlands,2007,45100
Poland,2007,9730
Portugal,2007,20000
Romania,2007,7480
Slovakia,2007,13700
Slovenia,2007,21600
Sweden,2007,49100
Austria,2008,44400
Belgium,2008,40200
Bulgaria,2008,6460
Cyprus,2008,27400
Czechia,2008,17000
Germany,2008,38300
Denmark,2008,53300
Spain,2008,27000
Estonia,2008,16600
Finland,2008,46400
France,2008,36400
Greece,2008,23900
Croatia,2008,12800
Hungary,2008,11900
Ireland,2008,48900
Italy,2008,33500
Lithuania,2008,12400
Luxemborg,2008,110000
Latvia,2008,12900
Malta,2008,19900
Netherlands,2008,45900
Poland,2008,10100
Portugal,2008,20000
Romania,2008,8310
Slovakia,2008,14500
Slovenia,2008,22300
Sweden,2008,48500
Austria,2009,42700
Belgium,2009,39000
Bulgaria,2009,6290
Cyprus,2009,26200
Czechia,2009,16200
Germany,2009,36200
Denmark,2009,50500
Spain,2009,25800
Estonia,2009,14200
Finland,2009,42400
France,2009,35100
Greece,2009,22800
Croatia,2009,11900
Hungary,2009,11200
Ireland,2009,45900
Italy,2009,31600
Lithuania,2009,10700
Luxemborg,2009,105000
Latvia,2009,11200
Malta,2009,19600
Netherlands,2009,44000
Poland,2009,10400
Portugal,2009,19300
Romania,2009,7920
Slovakia,2009,13700
Slovenia,2009,20400
Sweden,2009,46000
Austria,2010,43300
Belgium,2010,39800
Bulgaria,2010,6430
Cyprus,2010,26100
Czechia,2010,16500
Germany,2010,37800
Denmark,2010,51200
Spain,2010,25700
Estonia,2010,14600
Finland,2010,43600
France,2010,35600
Greece,2010,21600
Croatia,2010,11800
Hungary,2010,11300
Ireland,2010,46400
Italy,2010,32100
Lithuania,2010,11100
Luxemborg,2010,107000
Latvia,2010,11000
Malta,2010,20600
Netherlands,2010,44400
Poland,2010,10800
Portugal,2010,19700
Romania,2010,7660
Slovakia,2010,14600
Slovenia,2010,20600
Sweden,2010,48400
Austria,2011,44500
Belgium,2011,39900
Bulgaria,2011,6610
Cyprus,2011,25500
Czechia,2011,16800
Germany,2011,40000
Denmark,2011,51600
Spain,2011,25400
Estonia,2011,15700
Finland,2011,44500
France,2011,36200
Greece,2011,19400
Croatia,2011,11800
Hungary,2011,11600
Ireland,2011,46600
Italy,2011,32200
Lithuania,2011,12000
Luxemborg,2011,105000
Latvia,2011,11500
Malta,2011,20600
Netherlands,2011,44900
Poland,2011,11300
Portugal,2011,19400
Romania,2011,8040
Slovakia,2011,15000
Slovenia,2011,20700
Sweden,2011,49500
Austria,2012,44500
Belgium,2012,40000
Bulgaria,2012,6690
Cyprus,2012,24300
Czechia,2012,16600
Germany,2012,40100
Denmark,2012,51600
Spain,2012,24600
Estonia,2012,16300
Finland,2012,43600
France,2012,36200
Greece,2012,18100
Croatia,2012,11600
Hungary,2012,11500
Ireland,2012,46400
Italy,2012,31200
Lithuania,2012,12700
Luxemborg,2012,104000
Latvia,2012,12400
Malta,2012,21200
Netherlands,2012,44200
