Index,Year,Value
GEI,2006,7.7
GEI,2007,7.8
GEI,2008,7.8
GEI,2009,7.9
GEI,2010,7.9
GEI,2011,7.9
GEI,2012,8
GEI,2013,8
GEI,2014,7.9
GEI,2015,8
GEI,2016,8.1
GEI,2017,7.9
GEI,2018,8
GEI,2019,8
Happiness,2006,6.1
Happiness,2007,6.2
Happiness,2008,6.8
Happiness,2009,6.1
Happiness,2010,6.3
Happiness,2011,6.2
Happiness,2012,6.2
Happiness,2013,6.2
Happiness,2014,6.2
Happiness,2015,6.2
Happiness,2016,6.3
Happiness,2017,6.5
Happiness,2018,6.5
Happiness,2019,6.6
HDI,2006,8.5
HDI,2007,8.6
HDI,2008,8.6
HDI,2009,8.6
HDI,2010,8.7
HDI,2011,8.7
HDI,2012,8.7
HDI,2013,8.8
HDI,2014,8.8
HDI,2015,8.9
HDI,2016,8.9
HDI,2017,8.9
HDI,2018,9
HDI,2019,9
SDI,2006,4.8
SDI,2007,4.5
SDI,2008,4.4
SDI,2009,5
SDI,2010,4.9
SDI,2011,4.8
SDI,2012,4.8
SDI,2013,4.8
SDI,2014,4.7
SDI,2015,4.5
SDI,2016,4.4
SDI,2017,4.4
SDI,2018,4.4
SDI,2019,4.4
Democracy,2006,8.2
Democracy,2007,8.2
Democracy,2008,8.2
Democracy,2009,8.1
Democracy,2010,8
Democracy,2011,7.9
Democracy,2012,7.9
Democracy,2013,7.9
Democracy,2014,8
Democracy,2015,8
Democracy,2016,7.9
Democracy,2017,7.9
Democracy,2018,7.9
Democracy,2019,7.9
