country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,6.75,4.64,5.59,4.31,3.77,−0.0976,4.76,4.64,−0.283,5.63,2.31,−0.3,1.77,3.1,0.316,2.17,2.23,1.54,2.88,3.84,3.27,2.33,1.11,−0.592,2.16,1.66,2.45,1.73,3.48,3.09,3.12,0.587,0.687,0.998,2.18,1.95,3.13,3.29,1,−4.09,1.75,2.29,0.336,0.131,1.27,1.31,1.2,1.03,1.03,0.991
Belgium,5.92,3.38,4.86,5.8,3.89,−1.6,5.48,0.515,2.76,2.26,4.38,−1.3,1.37,−0.00397,2.48,0.976,1.46,2.27,4.57,3.03,2.71,1.48,1.11,−1.35,2.85,2.06,0.923,3.13,1.7,3.23,3.47,0.507,1.31,0.822,2.81,1.51,2.03,2.17,0.206,−3.56,1.6,0.297,−0.984,−0.351,0.955,0.781,0.654,0.723,0.764,0.857
Bulgaria,5,2.69,4.25,3.41,2.45,7.7,2.59,−1.43,2.09,3.75,−3.22,2.36,2.97,−2.09,3.1,−3.18,2.47,0.0412,−0.738,−1.88,−9.96,−7.13,−6.08,1.03,2.88,4.12,−8.35,−4.49,5.23,3.32,6.41,5.18,5.95,5.31,7.6,7.24,7.06,6.99,6.66,−4.94,1.18,4.31,1.21,1.47,2.11,3.02,3.52,3.52,3.52,3.52
Cypurs,3.94,12.7,6.99,2.9,−2,−16.1,19,15.8,7.2,9.09,4.8,1.76,5.11,3.96,7.36,3.47,2.61,5.89,7.14,6.53,5.2,−1.92,6.55,−1.75,3.61,7.94,0.241,0.892,3.73,3.7,3.95,2.84,0.911,0.352,1.87,1.08,2.22,2.59,0.922,−4.52,−1.19,−2.06,−3.51,−7.04,−5.77,−0.184,0.861,1.4,1.34,1.09
Czechia,1.77,2.97,3,2.67,2.86,2.16,0.836,3.78,0.554,0.231,2.28,−0.871,1.68,1.26,2.11,0.573,1.67,0.311,2.05,0.678,−2.91,−11.6,−0.553,0.0276,2.21,6,4.16,−0.55,−0.554,1.54,3.81,2.57,1.97,3.65,4.51,6.4,6.7,5.36,2.17,−5.29,2.11,1.67,−1.2,−0.973,1.71,1.86,2,2.17,2.33,2.37
Germany,3.82,2.19,3.65,4.23,0.807,−0.186,5.34,3.06,2.93,4,0.863,0.245,−0.77,2.06,3.17,2.41,2.17,1.5,2.92,2.46,−3.8,4.52,1.45,−1.46,2.3,1.59,0.702,1.66,1.81,1.95,3.07,1.13,−0.0852,−0.276,1.03,0.778,4.01,3.52,0.977,−4.79,4.17,3.07,0.651,0.194,1.55,1.45,1.39,1.39,1.33,1.33
Denmark,1.37,2.09,4.82,3.14,−1.26,−0.815,6.35,1.44,1.3,3.43,−0.431,−0.73,3.23,2.73,4.58,4.38,3.64,0.3,1.25,0.336,1.18,1.17,1.77,−0.285,5.32,2.67,2.39,2.91,1.93,2.36,3.37,0.499,0.233,0.158,1.89,2.85,3.09,1.22,−1.3,−6.28,1.15,0.634,−0.714,0.235,1.14,1.33,1.34,1.36,1.43,1.44
Spain,4.76,4.74,7.26,7.92,6.37,2.42,3.03,2.72,2.15,0.5,1.48,−0.182,1.17,1.99,0.983,1.58,2.84,5.22,5,4.85,4.09,2.26,0.705,−1.23,2.22,2.61,2.27,3.73,4.35,4.46,5.04,3.47,2.53,2.94,3.1,3.46,2.49,1.62,−0.7,−4.45,−0.632,0.303,−1.71,−0.888,1.09,1.19,1.37,1.42,1.47,1.53
Estonia,6.69,1.65,−0.43,7.38,2.49,−0.115,4.3,2,2.17,−0.767,−0.147,0.638,2.17,2.88,0.881,0.546,3.76,0.982,1.86,1.54,−2.52,−9.44,−12.4,−6.21,0.00192,6.02,5.87,11.6,6.13,0.706,8.57,7.17,7.98,5.83,9.03,10.9,10.3,7.67,−4.05,−14,3.35,8.28,7.61,1.46,−1.21,3.25,3.53,3.64,3.72,3.79
Finland,7.88,1.96,6.99,6.1,2.49,0.704,−0.725,−0.0341,1.8,6.68,5.01,1.43,2.67,2.09,2.47,2.94,2.05,3.8,4.59,5.33,−0.468,−6.9,−4.33,−1.71,3.5,3.07,3.48,5.9,5.4,3.64,4.85,2.4,1.36,1.58,3.5,2.76,3.99,4.87,−0.193,−8.97,2.87,2.28,−1.47,−1.83,−0.106,0.648,1.13,1.26,1.39,1.39
